Company Name,Ticker Symbol,Industry Classification
3i Infrastructure,3IN,Financial Services
4imprint,FOUR,Media
Aberdeen Group,ABDN,Financial Services
Abrdn Asia Focus,AAS,Investment Trusts
Aberforth Smaller Companies Trust,ASL,Investment Trusts
Alfa Financial Software,ALFA,Software and Computer Services
Allianz Technology Trust,ATT,Investment Trusts
Alpha Group International,ALPH,Financial Services
AO World,AO,Retail
Apax Global Alpha,APAX,Financial Services
Ashmore Group,ASHM,Financial Services
Ashoka India Equity Investment Trust,AIE,Investment Trusts
ASOS,ASC,Retailers
Aston Martin Lagonda,AML,Automobiles & Parts
Atalaya Mining,ATYM,Industrial Metals and Mining
Auction Technology Group,ATG,Software & Computer Services
AVI Global Trust,AGT,Investment Trusts
Avon Technologies,AVON,Industrial Goods and Services
B&M,BME,Retailers
Baillie Gifford Japan Trust,BGFD,Investment Trusts
Baillie Gifford US Growth Trust,USA,Investment Trusts
Bakkavör,BAKK,Food & Tobacco
Balfour Beatty,BBY,Construction & Materials
Baltic Classifieds,BCG,Consumer Digital Services
Bankers Investment Trust,BNKR,Investment Trusts
A.G. Barr,BAG,Beverages
AJ Bell,AJB,Financial Services
Bellway,BWY,Home Construction
BH Macro,BHMG,Hedge Funds
Big Yellow Group,BYG,Real Estate Investment Trusts
BlackRock Greater Europe Investment Trust,BRGE,Investment Trusts
BlackRock Smaller Companies Trust,BRSC,Equity Investments
BlackRock Throgmorton Trust,THRG,Equity Investments
BlackRock World Mining Trust,BRWM,Investment Trusts
Bloomsbury Publishing,BMY,Publishing
Bluefield Solar Income Fund,BSIF,Investment Trusts
Bodycote,BOY,Industrial Engineering
Breedon Group,BREE,Construction & Materials
Bridgepoint Group,BPT,Financial Services
British Land,BLND,Real Estate
Brunner Investment Trust,BUT,Investment Trusts
Burberry,BRBY,Personal goods
Bytes Technology Group,BYIT,Aerospace & Defence
C&C Group,CCR,Food & Tobacco
Caledonia Investments,CLDN,Investment Trusts
Capital Gearing Trust,CGT,Investment Trusts
Carnival Corporation & plc,CCL,Travel & Leisure
Chemring Group,CHG,Aerospace & Defence
Chesnara,CSN,Life Insurance
Chrysalis Investments,CHRY,Investment Trusts
City of London Investment Trust,CTY,Investment Trusts
Clarkson,CKN,Industrial Transportation
Close Brothers Group,CBG,Financial Services
CMC Markets,CMCX,Financial Services
Coats Group,COA,Consumer Staples
Computacenter,CCC,Software & Computer Services
Cranswick,CWK,Food Producers
Crest Nicholson,CRST,Home Construction
Currys,CURY,Retailers
Deliveroo,ROO,Technology
Derwent London,DLN,Real Estate Investment Trusts
discoverIE,DSCV,Support Services
Diversified Energy,DEC,Energy
Domino's Pizza,DOM,Travel & Leisure
Dowlais Group,DWL,Automobiles & Parts
Drax Group,DRX,Electricity
Dr. Martens,DOCS,Retailers
Dunelm Group,DNLM,Retailers
Edinburgh Investment Trust,EDIN,Investment Trusts
Edinburgh Worldwide Investment Trust,EWI,Investment Trusts
Elementis,ELM,Chemicals
Empiric Student Property,ESP,Real estate
Energean,ENOG,Oil & Gas Producers
European Opportunities Trust,EOT,Investment Trusts
European Smaller Companies Trust,ESCT,Investment Trusts
Fidelity China Special Situations,FCSS,Investment Trusts
Fidelity Emerging Markets,FEML,Investment Trusts
Fidelity European Trust,FEV,Investment Trusts
Fidelity Special Values,FSV,Investment Trusts
Finsbury Growth & Income Trust,FGT,Equity Investments
FirstGroup,FGP,Travel & Leisure
Foresight Environmental Infrastructure,FGEN,Investment Trusts
Foresight Group,FSG,Investment Banking and Brokerage Services
Foresight Solar Fund,FSFL,Collective Investments
Frasers Group,FRAS,Retailers
Future,FUTR,Media
Gamma Communications,GAMA,Telecommunications
GCP Infrastructure Investments,GCP,General Financial
Genuit Group,GEN,Construction & Materials
Genus,GNS,Pharmaceuticals & Biotechnology
Global Smaller Companies Trust,GSCT,Investment Trusts
Goodwin,GDWN,General Industrials
Grafton Group,GFTU,Support Services
Grainger,GRI,Real Estate Investment & Services
Great Portland Estates,GPE,Real Estate Investment Trusts
Greencoat UK Wind,UKW,"Gas, Water & Multiutilities"
Greencore,GNC,"Food, Beverage and Tobacco"
Greggs,GRG,Food & Drug Retailers
Hammerson,HMSO,Real Estate Investment Trusts
Harbour Energy,HBR,Oil & Gas Producers
HarbourVest Global Private Equity,HVPE,Equity Investments
Harworth Group,HWG,Real Estate
Hays,HAS,Support Services
Helios Towers,HTWS,Telecomms
Henderson European Trust,HET,Investment Trusts
Henderson Smaller Companies Investment Trust,HSL,Investment Trusts
Herald Investment Trust,HRI,Investment Trusts
Hg Capital Trust,HGT,Investment Trusts
HICL Infrastructure Company,HICL,Investment Trusts
Hill & Smith,HILS,Industrial Engineering
Hilton Food Group,HFG,Food Producers
Hochschild Mining,HOC,Basic Resources
Hollywood Bowl Group,BOWL,Travel and leisure
Hunting,HTG,"Oil, Gas and Coal"
Ibstock,IBST,Construction & Materials
ICG Enterprise Trust,ICGT,Investment Trusts
IG Group Holdings,IGG,Financial Services
Impax Environmental Markets,IEM,Investment Trusts
Inchcape,INCH,Retailers
IntegraFin Holdings,IHP,Financial Services
International Public Partnerships,INPP,Financial Services
Invesco Asia Dragon Trust,IAD,Investment Trusts
Investec,INVP,Financial Services
IP Group,IPO,Financial Services
Ithaca Energy,ITH,Oil & Gas Producers
ITV,ITV,Media
IWG,IWG,Support Services
Johnson Matthey,JMAT,Chemicals
JPMorgan American Investment Trust,JAM,Investment Trusts
JPMorgan Emerging Markets Investment Trust,JMG,Investment Trusts
JPMorgan European Discovery,JEDT,Investment Trusts
JPMorgan European Growth & Income,JEGI,Investment Trusts
JPMorgan Global Growth & Income,JGGI,Investment Trusts
JPMorgan Indian Investment Trust,JII,Investment Trusts
JPMorgan Japanese Investment Trust,JFJ,Investment Trusts
JTC,JTC,Financial Services
Jupiter Fund Management,JUP,Financial Services
Just Group,JUST,Life Insurance
Kainos,KNOS,Software & Computer Services
Keller Group,KLR,Construction & Materials
Kier Group,KIE,Construction & Materials
Lancashire Holdings,LRE,Nonlife Insurance
Law Debenture,LWDB,Investment Trusts
Lion Finance Group,BGEO,Banking Services
Man Group,EMG,Investment Trusts
Marshalls,MSLH,Construction & Materials
ME Group International,MEGP,Leisure Goods
Mercantile Investment Trust,MRC,Collective Investments
Merchants Trust,MRCH,Investment Trusts
Metro Bank,MTRO,Banks
Mitchells & Butlers,MAB,Travel & Leisure
Mitie,MTO,Support Services
Molten Ventures,GROW,Financial Services
Monks Investment Trust,MNKS,Investment Trusts
MONY Group,MONY,Media
Moonpig,MOON,Retailers
Morgan Advanced Materials,MGAM,Electronic & Electrical Equipment
Morgan Sindall Group,MGNS,Construction & Materials
Murray Income Trust,MUT,Investment Trusts
Murray International Trust,MYI,Investment Trusts
NB Private Equity Partners,NBPE,Collective Investments
NCC Group,NCC,Software and Computer Services
NextEnergy Solar Fund,NESF,Collective Investments
Ninety One,N91,Financial Services
North Atlantic Smaller Companies Investment Trust,NAS,Investment Trusts
Ocado Group,OCDO,Food & drug retailers
Ocean Wilsons,OCN,Industrial Goods and Services
OneSavings Bank,OSB,Banks
Oxford Instruments,OXIG,Electronic & Electrical Equipment
Oxford Nanopore Technologies,ONT,Health Care
Pacific Horizon Investment Trust,PHI,Investment Trusts
PageGroup,PAGE,Support Services
Pantheon Infrastructure,PINT,Investment Trusts
Pantheon International,PIN,Equity Investments
Paragon Banking Group,PAG,Financial Services
Patria Private Equity Trust,PPET,Financial Services
PayPoint,PAY,Industrial Support Services
